Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 27.40      0.20     0.20    23569     8.49     8.49  Receive_pointer_move
 23.29      0.37     0.17        1 170000.00 500000.00  sched
 12.33      0.46     0.09                             Packet_scanf
  9.59      0.53     0.07    22033     3.18    14.68  Handle_input
  5.48      0.57     0.04      853    46.89    51.06  Handle_keyboard
  5.48      0.61     0.04        1 40000.00 40000.00  Alloc_shots
  5.48      0.65     0.04                             Sockbuf_clear
  4.11      0.68     0.03                             Sockbuf_read
  2.74      0.70     0.02        1 20000.00 20000.00  Walldist_init
  1.37      0.71     0.01     3267     3.06    16.39  Receive_keyboard
  1.37      0.72     0.01      332    30.12    30.12  Rank_fire_shot
  1.37      0.73     0.01                             DgramRead
  0.00      0.73     0.00   478178     0.00     0.00  Object_position_set_clicks
  0.00      0.73     0.00   437273     0.00     0.00  Object_position_set_clicks_interpolation
  0.00      0.73     0.00   436709     0.00     0.00  Move_object
  0.00      0.73     0.00   287379     0.00     0.00  Move_segment
  0.00      0.73     0.00    41469     0.00     0.00  Object_position_init_pixels
  0.00      0.73     0.00    41463     0.00     0.00  Delete_shot
  0.00      0.73     0.00    15565     0.00     0.00  Bounce_wall
  0.00      0.73     0.00    12456     0.00     0.00  timeval_to_seconds
  0.00      0.73     0.00     7812     0.00     0.00  Make_debris
  0.00      0.73     0.00     6228     0.00     0.00  Input
  0.00      0.73     0.00     6228     0.00     1.04  Main_loop
  0.00      0.73     0.00     6228     0.00     0.00  Queue_loop
  0.00      0.73     0.00     6228     0.00     0.00  checkPlayers
  0.00      0.73     0.00     5680     0.00     0.00  Frame_radar_buffer_free
  0.00      0.73     0.00     5680     0.00     0.00  Frame_shuffle
  0.00      0.73     0.00     5680     0.00     0.00  Frame_update
  0.00      0.73     0.00     5680     0.00     0.00  Player_position_set_clicks_interpolation
  0.00      0.73     0.00     5244     0.00     0.00  Player_position_set_clicks
  0.00      0.73     0.00     5232     0.00     0.00  Cell_objects_init
  0.00      0.73     0.00     5232     0.00     0.00  Check_collision
  0.00      0.73     0.00     5232     0.00     0.00  Compute_game_status
  0.00      0.73     0.00     5232     0.00     0.00  Init_interpolation_data
  0.00      0.73     0.00     5232     0.00     0.00  Move_player
  0.00      0.73     0.00     5232     0.00     0.00  PlayerCollision
  0.00      0.73     0.00     5232     0.00     0.00  Robot_update
  0.00      0.73     0.00     5232     0.00     1.23  Update_objects
  0.00      0.73     0.00     4986     0.00     0.00  Frame_map
  0.00      0.73     0.00     4986     0.00     0.00  Frame_parameters
  0.00      0.73     0.00     4986     0.00     0.00  Frame_radar
  0.00      0.73     0.00     4986     0.00     0.00  Frame_radar_buffer_reset
  0.00      0.73     0.00     4986     0.00     0.00  Frame_radar_buffer_send
  0.00      0.73     0.00     4986     0.00     0.00  Frame_ships
  0.00      0.73     0.00     4986     0.00     0.00  Frame_shots
  0.00      0.73     0.00     4986     0.00     0.00  Frame_status
  0.00      0.73     0.00     4986     0.00     0.00  Get_display_parameters
  0.00      0.73     0.00     4986     0.00     0.00  Get_player_id
  0.00      0.73     0.00     4986     0.00     0.00  Send_end_of_frame
  0.00      0.73     0.00     4986     0.00     0.00  Send_modifiers
  0.00      0.73     0.00     4986     0.00     0.00  Send_self
  0.00      0.73     0.00     4986     0.00     0.00  Send_self_items
  0.00      0.73     0.00     4986     0.00     0.00  Send_start_of_frame
  0.00      0.73     0.00     4986     0.00     0.00  debris_end
  0.00      0.73     0.00     4986     0.00     0.00  fastshot_end
  0.00      0.73     0.00     4978     0.00     0.00  Turn_player
  0.00      0.73     0.00     4978     0.00     0.00  update_player_turn
  0.00      0.73     0.00     4827     0.00     0.00  Cell_objects_get
  0.00      0.73     0.00     4827     0.00     0.00  PlayerObjectCollision
  0.00      0.73     0.00     4824     0.00     0.00  Update_tanks
  0.00      0.73     0.00     4572     0.00     0.00  Send_ship
  0.00      0.73     0.00     4483     0.00     0.00  Wrap_length
  0.00      0.73     0.00     4449     0.00     0.00  fastshot_store
  0.00      0.73     0.00     4390     0.00     0.00  Add_fuel
  0.00      0.73     0.00     4001     0.00     0.00  Send_ball
  0.00      0.73     0.00     3900     0.00     0.00  Thrust
  0.00      0.73     0.00     2822     0.00     0.00  Send_fastshot
  0.00      0.73     0.00     1347     0.00     0.00  Move_ball
  0.00      0.73     0.00     1196     0.00     0.00  Delta_mv
  0.00      0.73     0.00      896     0.00     0.00  Move_object_interpolation
  0.00      0.73     0.00      738     0.00     0.00  Fire_normal_shots
  0.00      0.73     0.00      618     0.00     0.00  Object_crash
  0.00      0.73     0.00      448     0.00     0.00  Move_player_interpolation
  0.00      0.73     0.00      448     0.00     0.00  Update_objects_interpolation
  0.00      0.73     0.00      403     0.00     0.00  Transport_to_home
  0.00      0.73     0.00      396     0.00     0.00  timeout_chime
  0.00      0.73     0.00      379     0.00     0.00  Option_hash_string
  0.00      0.73     0.00      338     0.00    29.59  Fire_general_shot
  0.00      0.73     0.00      338     0.00    29.59  Fire_main_shot
  0.00      0.73     0.00      217     0.00     0.00  Send_connector
  0.00      0.73     0.00      213     0.00     0.00  Option_allocate_node
  0.00      0.73     0.00      213     0.00     0.00  Option_free_node
  0.00      0.73     0.00      213     0.00     0.00  Option_free_value
  0.00      0.73     0.00      180     0.00     0.00  Option_allocate_value
  0.00      0.73     0.00      148     0.00     0.00  Option_add_node
  0.00      0.73     0.00      121     0.00     0.00  Get_hash_node_by_name
  0.00      0.73     0.00      116     0.00     0.00  Option_parse_node
  0.00      0.73     0.00      115     0.00     0.00  Option_add_desc
  0.00      0.73     0.00      110     0.00     0.00  Option_set_value
  0.00      0.73     0.00      103     0.00     0.00  parseLine
  0.00      0.73     0.00      101     0.00     0.00  skipspace
  0.00      0.73     0.00       99     0.00     0.00  Meta_update
  0.00      0.73     0.00       74     0.00     0.00  Find_closest_team
  0.00      0.73     0.00       70     0.00     0.00  Detach_ball
  0.00      0.73     0.00       45     0.00     0.00  Option_change_node
  0.00      0.73     0.00       42     0.00     0.00  encode
  0.00      0.73     0.00       41     0.00     0.00  Convert_string_to_bool
  0.00      0.73     0.00       38     0.00     0.00  Send_message
  0.00      0.73     0.00       37     0.00     0.00  Set_message
  0.00      0.73     0.00       36     0.00     0.00  Make_treasure_ball
  0.00      0.73     0.00       28     0.00     0.00  Convert_string_to_int
  0.00      0.73     0.00       27     0.00     0.00  Convert_string_to_float
  0.00      0.73     0.00       25     0.00     0.00  Receive_ack
  0.00      0.73     0.00       24     0.00     0.00  Send_reliable
  0.00      0.73     0.00       18     0.00     0.00  Find_option_by_name
  0.00      0.73     0.00       13     0.00     0.00  Player_init_fuel
  0.00      0.73     0.00       12     0.00     0.00  Explode_fighter
  0.00      0.73     0.00       12     0.00     0.00  Go_home
  0.00      0.73     0.00       12     0.00     0.00  Kill_player
  0.00      0.73     0.00       12     0.00     0.00  Player_death_reset
  0.00      0.73     0.00       12     0.00     0.00  Player_position_init_pixels
  0.00      0.73     0.00       12     0.00     0.00  Rank_add_score
  0.00      0.73     0.00       12     0.00     0.00  SCORE
  0.00      0.73     0.00       12     0.00     0.00  Send_score_object
  0.00      0.73     0.00       12     0.00     0.00  Update_score_table
  0.00      0.73     0.00        9     0.00     0.00  Check_team_members
  0.00      0.73     0.00        9     0.00     0.00  Obj_repel
  0.00      0.73     0.00        9     0.00     0.00  Parse_check_info_request
  0.00      0.73     0.00        9     0.00     0.00  Rate
  0.00      0.73     0.00        8     0.00     0.00  Conn_set_state
  0.00      0.73     0.00        8     0.00     0.00  Send_score
