Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.50     0.00      178     0.00     0.00  Option_allocate_value
  0.00      0.50     0.00      145     0.00     0.00  Option_add_node
  0.00      0.50     0.00      131     0.00     0.00  Rank_add_score
  0.00      0.50     0.00      131     0.00     0.00  SCORE
  0.00      0.50     0.00      131     0.00     0.00  Send_score
  0.00      0.50     0.00      123     0.00     0.00  Receive_ack
  0.00      0.50     0.00      122     0.00     0.00  Send_reliable
  0.00      0.50     0.00      120     0.00     0.00  Meta_update
  0.00      0.50     0.00      119     0.00     0.00  Get_hash_node_by_name
  0.00      0.50     0.00      114     0.00     0.00  Option_parse_node
  0.00      0.50     0.00      113     0.00     0.00  Option_add_desc
  0.00      0.50     0.00      112     0.00     0.00  Option_set_value
  0.00      0.50     0.00      103     0.00     0.00  parseLine
  0.00      0.50     0.00      101     0.00     0.00  skipspace
  0.00      0.50     0.00       93     0.00     0.00  Detach_ball
  0.00      0.50     0.00       88     0.00     0.00  Player_init_fuel
  0.00      0.50     0.00       83     0.00     1.03  Explode_fighter
  0.00      0.50     0.00       83     0.00     1.03  Kill_player
  0.00      0.50     0.00       83     0.00     0.00  Player_death_reset
  0.00      0.50     0.00       82     0.00     0.00  Go_home
  0.00      0.50     0.00       82     0.00     0.00  Player_position_init_pixels
  0.00      0.50     0.00       78     0.00     0.00  Robot_default_war_on_player
  0.00      0.50     0.00       78     0.00     0.00  Robot_war_on_player
  0.00      0.50     0.00       77     0.00     0.00  Send_message
  0.00      0.50     0.00       77     0.00     0.00  Set_message
  0.00      0.50     0.00       74     0.00     0.00  Find_closest_team
  0.00      0.50     0.00       70     0.00     0.00  Rate
  0.00      0.50     0.00       69     0.00     0.00  Robot_default_go_home
  0.00      0.50     0.00       69     0.00     0.00  Robot_go_home
  0.00      0.50     0.00       65     0.00     0.00  Send_score_object
  0.00      0.50     0.00       64     0.00     0.00  Robot_talks
